modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
shrec,noiseless,3,54,0.45833567,0.2169023322398817,6.6373577821418115,0.20112623
shrec,noiseless,3,55,0.46830148,0.22564507981331008,6.465741318235417,0.19626354
shrec,noiseless,3,56,0.47957367,0.2359667963590673,6.271491036932062,0.18947347
shrec,noiseless,3,57,0.4279502,0.18981214133076507,7.216760113802239,0.1950725
shrec,noiseless,3,58,0.44650617,0.2071515917156761,6.837117253119628,0.18909457
shrec,noiseless,3,59,0.42795485,0.19007440168076037,7.210763679181689,0.18675108
shrec,noiseless,3,60,0.44651937,0.206828110859045,6.843904348175491,0.18857548
noisy,noiseless,4,0,0.3713097,0.14506885354335036,8.384258210994997,0.19618347
noisy,noiseless,4,1,0.37263092,0.14589058404071434,8.35972737106692,0.19745
noisy,noiseless,4,2,0.37389052,0.14669814883196822,8.33575366437111,0.19784385
noisy,noiseless,4,3,0.3750953,0.14744554330640416,8.313683499123691,0.20024046
noisy,noiseless,4,4,0.37622696,0.14820385877816708,8.291404885007683,0.20125565
noisy,noiseless,4,5,0.37728864,0.14888872114250468,8.27138200374764,0.2022548
noisy,noiseless,4,6,0.37830895,0.14957198949148956,8.251497296551724,0.20304245
noisy,noiseless,4,7,0.37925193,0.1501895217165984,8.2336036572999,0.2039522
noisy,noiseless,4,8,0.38010225,0.15069908089128842,8.218893964249764,0.2061378
noisy,noiseless,4,9,0.38088053,0.15119501040003092,8.204625407891049,0.20714241
noisy,noiseless,4,10,0.3816085,0.15169078698019947,8.190407955162687,0.20773962
noisy,noiseless,4,11,0.3822796,0.15214168310229353,8.177517835720254,0.2087468
noisy,noiseless,4,12,0.38289285,0.15256471213925168,8.16545906062791,0.20956492
noisy,noiseless,4,13,0.38344038,0.15292304585346195,8.155270604818242,0.21030629
noisy,noiseless,4,14,0.3839237,0.1532409020583817,8.146253001904968,0.21104684
noisy,noiseless,4,15,0.38434476,0.1535169114876802,8.138437754882592,0.21208376
noisy,noiseless,4,16,0.3846897,0.15371180202081053,8.13292786008792,0.2127403
noisy,noiseless,4,17,0.384977,0.1538878847370769,8.127955698952645,0.21227886
noisy,noiseless,4,18,0.3851981,0.15401727696479228,8.124305592309724,0.21357265
noisy,noiseless,4,19,0.38535035,0.1540891848104741,8.122278424104799,0.21415116
noisy,noiseless,4,20,0.38543242,0.15412197402886985,8.121354370821162,0.214365
noisy,noiseless,4,21,0.38544866,0.15410010840754887,8.121970557605962,0.21449964
noisy,noiseless,4,22,0.38540503,0.1540727920779953,8.122740471586287,0.2145139
noisy,noiseless,4,23,0.38528642,0.1539627167270321,8.125844342288541,0.21426669
noisy,noiseless,4,24,0.3850997,0.15382112036537504,8.129840297595653,0.2143488
noisy,noiseless,4,25,0.3848505,0.1536495628866839,8.134686709179913,0.2136391
noisy,noiseless,4,26,0.38452482,0.15341447641895728,8.141336577779452,0.21368852
noisy,noiseless,4,27,0.38414502,0.15315202036106967,8.148772696646137,0.21307033
noisy,noiseless,4,28,0.38368958,0.15281651990549014,8.15829694739454,0.21261439
noisy,noiseless,4,29,0.3831674,0.15244133264997273,8.168972632585712,0.21216291
noisy,noiseless,4,30,0.38256466,0.1520045844619178,8.181433135256967,0.21099204
noisy,noiseless,4,31,0.38194937,0.15150347947989495,8.195773928939158,0.21061054
noisy,noiseless,4,32,0.38130283,0.1510194835775021,8.209670191681436,0.21038997
noisy,noiseless,4,33,0.38059938,0.15052564344294483,8.223895076642583,0.20930582
noisy,noiseless,4,34,0.37980768,0.14994810339724432,8.240590229976203,0.20805815
noisy,noiseless,4,35,0.37893206,0.14931684135002019,8.258912057184478,0.20757324
